dialog_act,utterance
affirm,yes
affirm,yes
thankyou,thank you good bye
null,noise
thankyou,thank you good bye
reqalts,is there anything that serves north american
affirm,yes
thankyou,thank you good bye
inform,um doesnt mater
affirm,yes
reqalts,how about british food
inform,im looking for belgian food in the south part of town
thankyou,thank you good bye
request,what kind of food
inform,corsica
inform,it doesnt matter
reqalts,is there anything else
thankyou,thank you good bye
inform,im looking for a cheap restaurant
reqalts,how about a korean restaurant
affirm,yes
inform,i dont care
request,what type of food
reqalts,anything else
request,phone number
inform,north
inform,east
reqalts,how about canapes
thankyou,thank you good bye
inform,south
request,what is their address
request,the address
thankyou,thank you good bye
request,what is the address
reqalts,anything else
request,whats their address
request,the phone number
reqalts,how about italian
inform,moroccan
inform,im looking for a restaurant in the north part of town that serves belgian food
thankyou,thank you goodbye
inform,cheap
thankyou,thank you good bye
request,whats the address and area
inform,oriental
null,aw give me the damn code
null,sil
request,whats the address
request,uh no price range whats the
inform,italian food
thankyou,thank you good bye
affirm,yes
request,what kind of food do they have
request,can you give me the address
inform,im looking for portuguese food
inform,creative
reqalts,ok how about chinese food
inform,im looking for an expensive restaurant in the east part of town
request,phone number
request,address
request,whats the price range
inform,i dont care
thankyou,thank you
request,phone number
request,can you give me the phone number
request,address
inform,i want a cheap restaurant
inform,gastropub
inform,i need a restaurant in the east part of town that serves world food
request,what is the address
request,phone number
request,and whats the address
inform,east
inform,greek food east part of town
null,cough
request,whats the address
request,what type of food do they serve
request,what is the price range
inform,creative food
request,can i have the address and postal code
null,um
inform,british type
inform,west part
request,whats the price range
inform,im looking for something in the west side
inform,cheap
request,what is the phone number
thankyou,thank you goodbye
inform,mexican
inform,im looking for a restaurant in the north part of town and it should african food
request,whats the phone number
request,can i have its post code
request,what is the address
inform,im looking for a restaurant in the south part of town
inform,greek food
request,whats the phone number
inform,i dont care
request,whats the area
reqalts,anything else
inform,im looking for a moderately priced restaurant in the north part of town
request,can i have the address please
null,uh what is the
request,address
request,okay and whats the phone number
request,phone number
negate,no
request,what is the address
reqalts,what else is there
thankyou,thank you good bye
null,type
null,noise
inform,dont care
inform,i want to find an expensive restaurant that serves swedish food
null,unintelligible
null,background_speech
inform,gastropub
affirm,yes id like to find a cheap
null,noise
inform,gastropub
inform,im looking for an expensive restaurant that serves korean food
thankyou,thank you good bye
request,address
request,type of food
inform,east
reqalts,anything else
request,phone number
null,none
request,can i have the phone number
request,phone number
